Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-01,2015-01-01,2017-08-01,,Neutral,48.55,,42.93,,None,
2017-08-01,2017-08-01,2017-10-01,,MACD Bullish breath,58.13,3.77,51.67,3.24,None,
2017-10-01,2017-10-01,2017-12-01,Bullish breath,MACD Bullish breath,60.54,3.64,53.71,3.55,None,
2017-12-01,2017-12-01,2018-01-01,Bullish breath,MACD Bullish,64.86,5.96,56.47,5.96,None,
2018-01-01,2018-01-01,2018-03-01,Bullish,MACD Bullish,70.48,8.41,59.5,8.3,,
2018-03-01,2018-03-01,2018-07-01,Bullish breath,MACD Bullish breath,69.79,6.31,58.74,5.05,,
2018-07-01,2018-07-01,2018-08-01,Bullish,MACD Bullish,68.84,6.41,61.49,6.41,,
2018-08-01,2018-08-01,2019-05-01,Bullish breath,MACD Bullish breath,67.39,4.92,49.79,-2.32,,
2019-05-01,2019-05-01,2019-11-01,Bearish,MACD Bearish,57.92,-3.31,46.1,-5.3,,
2019-11-01,2019-11-01,2020-01-01,Bearish,MACD Bearish breath,58.7,-0.9,53.89,-1.81,,
2020-01-01,2020-01-01,2020-08-01,Bearish,MACD Bearish,56.86,-4.19,27.53,-11.98,,
2020-08-01,2020-08-01,2020-10-01,Bearish,MACD Bearish breath,49.97,-5.2,41.87,-6.19,,
2020-10-01,2020-10-01,2021-03-01,Bearish breath,MACD Bearish breath,63.48,4.42,44.2,-3.31,,
2021-03-01,2021-03-01,2022-01-01,Bullish,MACD Bullish,128.81,39.52,59.46,14.87,,
2022-01-01,2022-01-01,2022-02-01,Bullish breath,MACD Bullish breath,126.67,25.41,88.5,25.41,,
2022-02-01,2022-02-01,2022-05-01,Bullish,MACD Bullish,187.9,50.3,103.41,34.47,,
2022-05-01,2022-05-01,2022-06-01,Bullish breath,MACD Bullish,155.18,41.55,116.09,41.55,,
2022-06-01,2022-06-01,2022-07-01,Bullish breath,MACD Bullish breath,134.28,24.02,102.24,24.02,,
2022-07-01,2022-07-01,2022-08-01,Bullish,MACD Bullish breath,136.12,28.38,100.13,28.38,,
2022-08-01,2022-08-01,2022-11-01,Bullish breath,MACD Bullish breath,146.1,28.13,102.86,15.92,,
2022-11-01,2022-11-01,2022-12-01,Bullish breath,MACD Bullish,153.17,29.15,126.56,29.15,,
2022-12-01,2022-12-01,2023-01-01,Bullish breath,MACD Bullish breath,154.98,24.55,129.47,24.55,,
2023-01-01,2023-01-01,2023-03-01,Bullish,MACD Bullish,182.68,41.23,129.82,37.36,,
2023-03-01,2023-03-01,2023-04-01,Bullish breath,MACD Bullish,178.9,35.98,139.03,35.98,,
2023-04-01,2023-04-01,2023-07-01,Bullish breath,MACD Bullish breath,164.54,29.53,129.79,18.59,,
2023-07-01,2023-07-01,2023-09-01,Bullish,MACD Bullish,174.73,34.16,156.68,32.53,,
2023-09-01,2023-09-01,2023-12-01,Bullish breath,MACD Bullish breath,174.92,26.94,140.07,18.95,,
2023-12-01,2023-12-01,2024-01-01,Bullish breath,MACD Bullish,179.29,27.18,159.02,27.18,Sell - Monthly Divergence,
2024-01-01,2024-01-01,2024-02-01,Bullish breath,MACD Bullish breath,178.04,26.17,169.87,26.17,,
2024-02-01,2024-02-01,,Bullish,MACD Bullish,189.87,33.16,182.83,33.16,,
